,,group,ids,moe,percent
b04006_reported_ancestry_acs_m,alsat,B04006,4,FALSE,FALSE
b04006_reported_ancestry_acs_m,alsat_me,B04006,4,TRUE,FALSE
b04006_reported_ancestry_acs_m,amrica,B04006,5,FALSE,FALSE
b04006_reported_ancestry_acs_m,amrica_me,B04006,5,TRUE,FALSE
b04006_reported_ancestry_acs_m,arab,B04006,6,FALSE,FALSE
b04006_reported_ancestry_acs_m,arab_me,B04006,6,TRUE,FALSE
b04006_reported_ancestry_acs_m,egypt,B04006,7,FALSE,FALSE
b04006_reported_ancestry_acs_m,egypt_me,B04006,7,TRUE,FALSE
b04006_reported_ancestry_acs_m,iraqi,B04006,8,FALSE,FALSE
b04006_reported_ancestry_acs_m,iraqi_me,B04006,8,TRUE,FALSE
b04006_reported_ancestry_acs_m,jordan,B04006,9,FALSE,FALSE
b04006_reported_ancestry_acs_m,jordan_me,B04006,9,TRUE,FALSE
b04006_reported_ancestry_acs_m,leban,B04006,10,FALSE,FALSE
b04006_reported_ancestry_acs_m,leban_me,B04006,10,TRUE,FALSE
b04006_reported_ancestry_acs_m,mroccn,B04006,11,FALSE,FALSE
b04006_reported_ancestry_acs_m,mroccn_me,B04006,11,TRUE,FALSE
b04006_reported_ancestry_acs_m,palest,B04006,12,FALSE,FALSE
b04006_reported_ancestry_acs_m,palest_me,B04006,12,TRUE,FALSE
b04006_reported_ancestry_acs_m,syrian,B04006,13,FALSE,FALSE
b04006_reported_ancestry_acs_m,syrian_me,B04006,13,TRUE,FALSE
b04006_reported_ancestry_acs_m,o_arab,B04006,15,FALSE,FALSE
b04006_reported_ancestry_acs_m,o_arab_me,B04006,15,TRUE,FALSE
b04006_reported_ancestry_acs_m,armen,B04006,16,FALSE,FALSE
b04006_reported_ancestry_acs_m,armen_me,B04006,16,TRUE,FALSE
b04006_reported_ancestry_acs_m,assyr,B04006,17,FALSE,FALSE
b04006_reported_ancestry_acs_m,assyr_me,B04006,17,TRUE,FALSE
b04006_reported_ancestry_acs_m,austrl,B04006,18,FALSE,FALSE
b04006_reported_ancestry_acs_m,austrl_me,B04006,18,TRUE,FALSE
b04006_reported_ancestry_acs_m,austrn,B04006,19,FALSE,FALSE
b04006_reported_ancestry_acs_m,austrn_me,B04006,19,TRUE,FALSE
b04006_reported_ancestry_acs_m,basque,B04006,20,FALSE,FALSE
b04006_reported_ancestry_acs_m,basque_me,B04006,20,TRUE,FALSE
b04006_reported_ancestry_acs_m,belgn,B04006,21,FALSE,FALSE
b04006_reported_ancestry_acs_m,belgn_me,B04006,21,TRUE,FALSE
b04006_reported_ancestry_acs_m,brazil,B04006,22,FALSE,FALSE
b04006_reported_ancestry_acs_m,brazil_me,B04006,22,TRUE,FALSE
b04006_reported_ancestry_acs_m,britsh,B04006,23,FALSE,FALSE
b04006_reported_ancestry_acs_m,britsh_me,B04006,23,TRUE,FALSE
b04006_reported_ancestry_acs_m,bulgrn,B04006,24,FALSE,FALSE
b04006_reported_ancestry_acs_m,bulgrn_me,B04006,24,TRUE,FALSE
b04006_reported_ancestry_acs_m,cajun,B04006,25,FALSE,FALSE
b04006_reported_ancestry_acs_m,cajun_me,B04006,25,TRUE,FALSE
b04006_reported_ancestry_acs_m,canada,B04006,26,FALSE,FALSE
b04006_reported_ancestry_acs_m,canada_me,B04006,26,TRUE,FALSE
b04006_reported_ancestry_acs_m,crpth,B04006,27,FALSE,FALSE
b04006_reported_ancestry_acs_m,crpth_me,B04006,27,TRUE,FALSE
b04006_reported_ancestry_acs_m,celtic,B04006,28,FALSE,FALSE
b04006_reported_ancestry_acs_m,celtic_me,B04006,28,TRUE,FALSE
